customer_id,first_name,last_name,email,phone,city,signup_date,age,gender,total_trips,cancelled_trips,days_since_last_trip,churned,engagement_score,loyalty_score,persona,signup_channel,income_level,payment_method,device_type,trips_30d,completed_trips_30d,cancelled_trips_30d,total_fare_30d,avg_fare_30d,total_distance_30d,avg_duration_30d,promo_used_trips_30d,last_trip_date,recency_days,app_open,ride_completed,ride_request,search,total_events_30d,promos_redeemed_30d,promo_cost_30d,avg_discount_value_30d
CUST00016,Ruthild,Hornich,ruthild.hornich@aol.de,+49(0) 927358920,Berlin,2023-11-18,68,Other,52,5,18,0,1.0,0.925,Casual Rider,Referral,medium,Cash,Android,3.0,3.0,0.0,57.59,19.19666666666667,26.45,23.666666666666668,0.0,2025-11-10 18:13:00,10.0,26,6,14,16,62,0.0,0.0,0.0
CUST00017,Ludovica,Mazzocchi,ludovica.mazzocchi@yahoo.com,054575699,Milan,2025-08-15,47,Other,26,2,12,0,1.0,0.762,Tourist,Referral,medium,Credit Card,Web,8.0,4.0,4.0,74.83,9.35375,50.06,33.324999999999996,2.0,2025-11-15 09:54:00,5.0,15,3,8,9,35,1.0,16.2,12.28
CUST00018,Livia,Lombardi,livia.lombardi@gmail.com,3852897594,Milan,2024-10-14,66,Female,33,2,15,0,1.0,0.806,Tourist,Referral,medium,Digital Wallet,Android,1.0,1.0,0.0,9.48,9.48,5.56,28.9,0.0,2025-11-03 09:10:00,17.0,36,8,13,26,83,0.0,0.0,0.0
CUST00019,Francoise,Schäfer,francoise.schäfer@web.de,+49(0)8433 73371,Berlin,2024-01-02,47,Male,42,2,30,0,1.0,0.863,Tourist,Ads,medium,Credit Card,Web,3.0,3.0,0.0,39.24,13.08,27.92,14.466666666666667,0.0,2025-11-06 05:43:00,14.0,21,5,4,13,43,0.0,0.0,0.0
CUST00020,Ecrin,Waardeloo,ecrin.waardeloo@hotmail.com,0487 459014,Amsterdam,2023-04-17,58,Other,31,5,36,1,1.0,0.794,Commuter,Ads,medium,Digital Wallet,iOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,25,7,9,12,53,0.0,0.0,0.0
CUST00021,Lorenzo,Combi,lorenzo.combi@gmail.com,03828044578,Milan,2023-11-15,67,Other,28,4,4,0,1.0,0.775,Business,Organic,medium,Cash,iOS,3.0,3.0,0.0,24.57,8.19,27.22,18.633333333333333,0.0,2025-11-03 18:49:00,17.0,18,7,5,12,42,0.0,0.0,0.0
CUST00022,Josh,Smith,josh.smith@yahoo.co.uk,+443069990125,London,2025-08-31,41,Female,43,1,12,1,1.0,0.869,Commuter,Referral,high,Debit Card,Web,15.0,14.0,1.0,245.482,16.365466666666666,123.64,21.326666666666664,5.0,2025-11-20 07:12:00,0.0,12,5,2,9,28,1.0,32.76,12.28
CUST00023,Hugh,Perkins,hugh.perkins@outlook.com,+44161 496 0366,London,2024-07-16,23,Other,49,0,15,0,1.0,0.906,Casual Rider,Referral,high,Debit Card,iOS,2.0,2.0,0.0,48.44,24.22,13.04,35.900000000000006,0.0,2025-11-09 08:37:00,11.0,30,7,13,17,67,0.0,0.0,0.0
CUST00024,Ileana,Vallejo,ileana.vallejo@gmail.com,+34882478958,Barcelona,2023-01-30,53,Male,34,5,8,0,1.0,0.812,Tourist,Partnership,low,Debit Card,Web,1.0,1.0,0.0,15.15,15.15,6.68,23.6,0.0,2025-10-24 06:46:00,27.0,16,6,6,13,41,0.0,0.0,0.0
CUST00025,Ursel,Röhrdanz,ursel.röhrdanz@gmx.de,+49(0)9181822715,Berlin,2023-09-16,63,Female,35,1,65,0,1.0,0.819,Casual Rider,Organic,medium,Cash,Web,4.0,4.0,0.0,41.79,10.4475,26.619999999999997,25.2,1.0,2025-11-04 20:25:00,16.0,20,6,8,13,47,1.0,7.5,13.24
CUST00026,Hilda,Font,hilda.font@gmail.com,+34 980 881 923,Barcelona,2024-12-18,25,Male,20,0,1,0,1.0,0.719,Commuter,Referral,low,Digital Wallet,iOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13,3,3,9,28,0.0,0.0,0.0
CUST00027,Michelotto,Gioberti,michelotto.gioberti@hotmail.it,+39 0975135662,Milan,2025-08-02,53,Male,32,0,7,0,1.0,0.8,Commuter,Referral,medium,Credit Card,Web,6.0,6.0,0.0,79.50999999999999,13.251666666666665,42.41,18.7,1.0,2025-11-20 15:13:00,0.0,20,3,8,12,43,1.0,11.19,12.28
CUST00028,Colin,Lewis,colin.lewis@yahoo.com,(0161) 496 0600,London,2025-09-22,32,Male,54,8,6,0,1.0,0.938,Business,Organic,high,Credit Card,Web,21.0,18.0,3.0,320.676,15.270285714285714,145.0,26.633333333333333,6.0,2025-11-20 18:55:00,0.0,32,6,15,18,71,2.0,31.990000000000002,12.6
CUST00029,Ben,Kranz,ben.kranz@gmx.de,(00898) 65063,Berlin,2024-08-17,35,Other,30,1,28,0,1.0,0.787,Casual Rider,Ads,medium,Debit Card,Web,3.0,3.0,0.0,43.41,14.469999999999999,13.74,24.933333333333334,0.0,2025-11-04 20:28:00,16.0,25,6,9,15,55,0.0,0.0,0.0
CUST00030,Greca,Carosone,greca.carosone@yahoo.com,05646470506,Milan,2023-03-04,54,Female,38,0,39,0,1.0,0.837,Commuter,Partnership,medium,Cash,iOS,1.0,1.0,0.0,14.98,14.98,8.02,14.7,0.0,2025-10-27 07:09:00,24.0,40,11,10,25,86,0.0,0.0,0.0
CUST00031,Sally,Hughes,sally.hughes@yahoo.co.uk,+44(0)113 496 0738,London,2023-02-02,24,Other,70,0,19,0,1.0,1.0,Casual Rider,Organic,high,Cash,Android,2.0,1.0,1.0,24.71,12.355,17.73,27.950000000000003,0.0,2025-11-19 15:55:00,1.0,10,0,3,4,17,0.0,0.0,0.0
CUST00032,Esther,Roldan,esther.roldan@hotmail.com,+34 925 31 29 44,Barcelona,2025-05-31,64,Male,20,2,4,0,1.0,0.725,Business,Referral,low,Cash,Web,3.0,3.0,0.0,26.58,8.86,20.73,30.666666666666668,0.0,2025-11-20 12:08:00,0.0,21,11,11,10,53,0.0,0.0,0.0
CUST00033,Amy,Tillmanno,amy.tillmanno@yahoo.com,(071)-6799372,Amsterdam,2025-01-10,24,Male,42,7,3,0,1.0,0.863,Commuter,Ads,medium,Cash,iOS,6.0,4.0,2.0,58.882000000000005,9.813666666666668,47.3,18.0,0.0,2025-11-20 19:35:00,0.0,11,5,4,6,26,0.0,0.0,0.0
CUST00034,Rodrigo,Ortiz,rodrigo.ortiz@gmail.com,+34879 00 83 45,Barcelona,2024-09-27,29,Female,47,6,17,0,1.0,0.894,Casual Rider,Ads,low,Credit Card,Android,4.0,3.0,1.0,35.43,8.8575,15.05,29.75,0.0,2025-11-09 22:46:00,11.0,8,4,3,5,20,0.0,0.0,0.0
CUST00035,Luciano,Petruzzi,luciano.petruzzi@hotmail.com,0984343452,Milan,2024-10-02,24,Male,20,0,50,0,1.0,0.725,Business,Referral,medium,Debit Card,iOS,3.0,1.0,2.0,12.894,4.298,18.96,25.666666666666668,0.0,2025-11-09 12:49:00,11.0,15,4,6,7,32,0.0,0.0,0.0
CUST00036,Eligio,Artigas,eligio.artigas@hotmail.com,+34 824289514,Barcelona,2024-09-23,49,Female,23,2,50,1,1.0,0.744,Commuter,Partnership,low,Credit Card,iOS,2.0,2.0,0.0,22.759999999999998,11.379999999999999,18.23,17.45,0.0,2025-10-28 16:59:00,23.0,28,6,12,19,65,0.0,0.0,0.0
CUST00037,Manuela,Vallés,manuela.vallés@hotmail.com,+34 877 57 96 56,Barcelona,2024-04-17,18,Female,22,2,1,0,1.0,0.738,Tourist,Partnership,low,Digital Wallet,Android,1.0,1.0,0.0,7.21,7.21,2.89,25.0,1.0,2025-10-26 15:36:00,25.0,20,4,7,14,45,1.0,13.44,12.28
CUST00038,Giampiero,Sibilia,giampiero.sibilia@live.com,0363038676,Milan,2024-09-26,60,Other,35,0,3,0,1.0,0.819,Casual Rider,Ads,medium,Debit Card,Android,2.0,1.0,1.0,12.924,6.462,13.78,24.1,0.0,2025-11-19 22:13:00,1.0,7,2,1,5,15,0.0,0.0,0.0
CUST00039,Milka,Förster,milka.förster@googlemail.com,+49(0)3087066128,Berlin,2025-11-04,21,Other,36,3,5,0,1.0,0.825,Business,Organic,medium,Credit Card,iOS,12.0,9.0,3.0,124.752,10.395999999999999,80.79,21.316666666666666,1.0,2025-11-19 21:12:00,1.0,13,2,3,7,25,1.0,7.15,12.28
CUST00040,Serena,Montalcini,serena.montalcini@gmail.com,0324085672,Milan,2024-11-19,48,Other,44,5,41,0,1.0,0.875,Commuter,Referral,medium,Credit Card,iOS,7.0,5.0,2.0,85.368,12.19542857142857,49.54,16.714285714285715,0.0,2025-11-20 20:56:00,0.0,20,3,9,16,48,0.0,0.0,0.0
CUST00041,Luke,Baker,luke.baker@outlook.com,+44(0)113 496 0865,London,2024-01-17,56,Male,41,0,10,0,1.0,0.856,Commuter,Partnership,high,Credit Card,Web,1.0,1.0,0.0,25.32,25.32,11.0,15.5,0.0,2025-11-01 17:35:00,19.0,9,2,3,5,19,0.0,0.0,0.0
CUST00042,Heinrich,Keudel,heinrich.keudel@hotmail.de,01988 71432,Berlin,2023-01-12,55,Other,45,6,21,0,1.0,0.881,Business,Referral,medium,Cash,Web,1.0,1.0,0.0,16.81,16.81,1.28,9.7,0.0,2025-11-01 07:31:00,19.0,36,8,17,20,81,0.0,0.0,0.0
CUST00043,Cassandra,Bernetti,cassandra.bernetti@libero.it,+39 09654984055,Milan,2024-09-19,54,Other,36,4,14,0,1.0,0.825,Tourist,Organic,medium,Debit Card,Web,3.0,3.0,0.0,30.23,10.076666666666666,22.88,30.066666666666666,0.0,2025-11-13 15:01:00,7.0,21,6,12,11,50,0.0,0.0,0.0
CUST00044,Sem,van Ooyen,sem.van ooyen@hotmail.com,+31354 539238,Amsterdam,2024-10-04,33,Female,28,5,65,0,1.0,0.768,Casual Rider,Ads,medium,Digital Wallet,Android,1.0,1.0,0.0,20.68,20.68,12.42,30.1,0.0,2025-10-27 10:36:00,24.0,26,7,9,18,60,0.0,0.0,0.0
CUST00045,Jaylinn,van Ochten,jaylinn.van ochten@gmail.com,+3104 4702453,Amsterdam,2024-08-15,66,Male,48,0,57,1,1.0,0.9,Business,Partnership,medium,Credit Card,iOS,2.0,0.0,2.0,5.76,2.88,9.69,35.599999999999994,0.0,2025-11-11 17:42:00,9.0,7,1,2,3,13,0.0,0.0,0.0
CUST00046,Antonella,Fermi,antonella.fermi@fastwebnet.it,+39 334056484,Milan,2024-11-15,31,Other,24,4,8,0,1.0,0.75,Tourist,Ads,medium,Digital Wallet,iOS,2.0,2.0,0.0,25.57,12.785,13.850000000000001,25.8,1.0,2025-10-31 07:19:00,20.0,32,8,13,19,72,1.0,12.6,12.28
CUST00047,Adele,Löwer,adele.löwer@web.de,00777405668,Berlin,2024-02-04,41,Female,25,3,26,0,1.0,0.756,Commuter,Partnership,medium,Digital Wallet,Web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,27,6,7,17,57,0.0,0.0,0.0
CUST00048,Isa,Berrè,isa.berrè@hotmail.com,+39 01833332720,Milan,2024-12-28,18,Other,33,5,29,0,1.0,0.806,Tourist,Referral,medium,Debit Card,Android,2.0,2.0,0.0,21.68,10.84,9.77,21.450000000000003,0.0,2025-11-12 21:20:00,8.0,26,3,11,17,57,0.0,0.0,0.0
CUST00049,Bryan,Parker,bryan.parker@hotmail.co.uk,(0191) 496 0610,London,2023-11-22,24,Other,36,2,7,1,1.0,0.825,Commuter,Organic,high,Digital Wallet,Web,1.0,1.0,0.0,15.01,15.01,6.96,16.6,0.0,2025-11-10 01:30:00,10.0,12,5,4,7,28,0.0,0.0,0.0
CUST00050,Nancy,Schuchhardt,nancy.schuchhardt@googlemail.com,+49 (0) 2519 375498,Berlin,2025-05-30,63,Female,54,6,23,1,1.0,0.938,Commuter,Organic,medium,Cash,Android,9.0,9.0,0.0,135.76,15.084444444444443,40.64,22.155555555555555,2.0,2025-11-18 10:38:00,2.0,19,9,7,12,47,1.0,7.96,12.28
CUST00051,Terry,Miller,terry.miller@hotmail.com,+44(0)161 496 0119,London,2023-08-16,23,Other,70,8,9,0,1.0,1.0,Casual Rider,Organic,high,Credit Card,iOS,4.0,4.0,0.0,76.31,19.0775,29.82,27.925,0.0,2025-11-13 07:19:00,7.0,24,5,9,15,53,0.0,0.0,0.0
CUST00052,Mehmet,van Eck,mehmet.van eck@yahoo.com,+31(0)082-541229,Amsterdam,2024-04-03,67,Male,35,3,17,0,1.0,0.819,Tourist,Ads,medium,Cash,Web,2.0,2.0,0.0,24.37,12.185,9.43,29.4,1.0,2025-11-06 08:01:00,14.0,11,3,6,5,25,0.0,0.0,0.0
CUST00053,Rosenda,Montenegro,rosenda.montenegro@gmail.com,+34816 294 943,Barcelona,2024-10-21,53,Male,38,0,1,0,1.0,0.837,Business,Referral,low,Debit Card,Web,4.0,3.0,1.0,25.082,6.2705,17.74,26.85,0.0,2025-11-08 19:24:00,12.0,34,8,6,22,70,0.0,0.0,0.0
CUST00054,Anthony,Davies,anthony.davies@gmail.com,0151 496 0408,London,2023-09-06,41,Other,56,7,5,0,1.0,0.95,Commuter,Partnership,high,Debit Card,iOS,1.0,0.0,1.0,2.402,2.402,2.34,11.1,0.0,2025-11-05 08:49:00,15.0,14,4,3,10,31,0.0,0.0,0.0
CUST00055,Feline,van Geenen,feline.van geenen@gmail.com,+3165-3037376,Amsterdam,2024-10-14,41,Male,28,0,16,0,1.0,0.775,Tourist,Ads,medium,Debit Card,Web,2.0,2.0,0.0,26.240000000000002,13.120000000000001,8.95,24.85,0.0,2025-11-16 23:14:00,4.0,24,4,8,14,50,0.0,0.0,0.0
CUST00056,Anthony,Hughes,anthony.hughes@gmail.com,+4429 2018787,London,2025-01-17,40,Other,21,2,6,0,1.0,0.731,Casual Rider,Ads,high,Debit Card,iOS,1.0,1.0,0.0,16.64,16.64,3.68,43.3,0.0,2025-11-11 09:51:00,9.0,14,2,5,9,30,0.0,0.0,0.0
CUST00057,Frank,Schottin,frank.schottin@googlemail.com,+49(0) 270479287,Berlin,2025-11-04,44,Male,49,0,65,1,1.0,0.906,Commuter,Organic,medium,Cash,Web,19.0,18.0,1.0,246.042,12.94957894736842,145.41,30.81578947368421,5.0,2025-11-20 21:47:00,0.0,14,3,5,11,33,1.0,37.38,12.28
CUST00058,Anna-Marie,Süßebier,anna-marie.süßebier@aol.de,+49(0)3858 201977,Berlin,2025-04-07,35,Male,30,0,6,0,1.0,0.787,Business,Partnership,medium,Credit Card,Android,4.0,4.0,0.0,55.64,13.91,25.78,6.925,2.0,2025-11-19 11:28:00,1.0,16,5,4,9,34,1.0,12.14,12.28
CUST00059,Bayram,Finke,bayram.finke@gmail.com,+49(0) 145040359,Berlin,2024-04-17,30,Female,42,4,7,0,1.0,0.863,Tourist,Organic,medium,Debit Card,iOS,2.0,1.0,1.0,17.702,8.851,20.4,28.4,0.0,2025-11-17 20:10:00,3.0,25,5,8,12,50,0.0,0.0,0.0
CUST00060,Leigh,Young,leigh.young@outlook.com,(0115) 4960062,London,2024-07-20,60,Male,70,6,6,0,1.0,1.0,Casual Rider,Organic,high,Digital Wallet,iOS,7.0,7.0,0.0,103.97,14.852857142857143,61.33,30.2,2.0,2025-11-20 07:32:00,0.0,10,2,4,5,21,1.0,14.91,12.28
CUST00061,Rowan,van der Veen,rowan.van der veen@gmail.com,+3150 8174293,Amsterdam,2025-07-06,40,Other,55,0,2,0,1.0,0.944,Casual Rider,Organic,medium,Credit Card,iOS,9.0,7.0,2.0,95.084,10.56488888888889,61.480000000000004,27.655555555555555,2.0,2025-11-17 21:28:00,3.0,22,3,6,12,43,1.0,19.509999999999998,12.28
CUST00062,Sten,Pieters van der Maes,sten.pieters van der maes@yahoo.com,(0670) 442007,Amsterdam,2023-08-05,29,Other,47,4,2,0,1.0,0.894,Tourist,Referral,medium,Credit Card,Web,3.0,2.0,1.0,34.162,11.387333333333332,26.04,29.933333333333337,0.0,2025-11-10 19:17:00,10.0,19,3,5,15,42,0.0,0.0,0.0
CUST00063,Andrés,Campoy,andrés.campoy@gmail.com,+34825811279,Barcelona,2025-09-29,40,Other,46,1,12,0,1.0,0.887,Tourist,Partnership,low,Credit Card,Android,17.0,16.0,1.0,238.65800000000002,14.038705882352943,134.15,25.205882352941178,4.0,2025-11-17 20:03:00,3.0,16,5,4,7,32,1.0,29.03,12.28
CUST00064,Niccolò,Casale,niccolò.casale@libero.it,3354774298,Milan,2023-04-05,30,Female,28,2,21,1,1.0,0.775,Business,Partnership,medium,Credit Card,Web,1.0,1.0,0.0,11.89,11.89,7.0,20.5,0.0,2025-11-18 11:11:00,2.0,7,3,3,3,16,0.0,0.0,0.0
CUST00065,Alfio,Bandello,alfio.bandello@live.com,0163247370,Milan,2024-09-08,61,Other,34,4,3,0,1.0,0.812,Commuter,Organic,medium,Cash,iOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13,2,5,8,28,0.0,0.0,0.0
CUST00066,Loes,van der Kaay,loes.van der kaay@hotmail.com,+31246 951826,Amsterdam,2025-06-16,57,Female,42,7,18,0,1.0,0.863,Business,Organic,medium,Digital Wallet,Web,6.0,6.0,0.0,78.21000000000001,13.035000000000002,41.89,28.416666666666668,1.0,2025-11-13 10:01:00,7.0,27,6,11,16,60,1.0,8.27,12.28
CUST00067,Adelia,Garcia,adelia.garcia@yahoo.com,+34941 318 828,Barcelona,2024-01-15,38,Female,33,2,17,0,1.0,0.806,Tourist,Ads,low,Debit Card,Android,2.0,2.0,0.0,25.16,12.58,7.970000000000001,18.3,1.0,2025-10-31 10:41:00,20.0,16,3,7,12,38,1.0,9.1,13.24
CUST00068,Leire,García,leire.garcía@hotmail.com,+34 924 412 601,Barcelona,2023-03-20,61,Other,41,0,8,0,1.0,0.856,Commuter,Organic,low,Cash,Web,2.0,1.0,1.0,17.982,8.991,9.88,18.3,2.0,2025-11-14 18:11:00,6.0,6,3,0,5,14,1.0,10.54,12.28
CUST00069,Alexandra,Smith,alexandra.smith@hotmail.com,(0116)4960962,London,2023-09-13,37,Female,44,6,7,0,1.0,0.875,Commuter,Partnership,high,Digital Wallet,Android,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13,7,6,8,34,0.0,0.0,0.0
CUST00070,Lola,Escolano,lola.escolano@yahoo.com,+34924 29 85 01,Barcelona,2023-02-11,46,Other,48,5,35,0,1.0,0.9,Commuter,Partnership,low,Debit Card,Web,1.0,1.0,0.0,5.66,5.66,3.07,34.0,0.0,2025-10-29 17:45:00,22.0,13,5,4,5,27,0.0,0.0,0.0
CUST00071,Shirley,Cooper,shirley.cooper@yahoo.co.uk,+44(0)306 999 0969,London,2023-06-02,36,Other,60,7,36,0,1.0,0.975,Tourist,Referral,high,Debit Card,Web,3.0,3.0,0.0,46.36,15.453333333333333,23.82,15.666666666666666,0.0,2025-11-11 15:12:00,9.0,15,4,8,10,37,0.0,0.0,0.0
CUST00072,Aiden,van Mook,aiden.van mook@hotmail.com,054-5650139,Amsterdam,2024-03-25,32,Male,58,3,58,0,1.0,0.962,Commuter,Referral,medium,Credit Card,iOS,2.0,1.0,1.0,19.898,9.949,14.239999999999998,34.5,0.0,2025-11-11 09:14:00,9.0,33,7,14,23,77,0.0,0.0,0.0
CUST00073,Rosario,Goicoechea,rosario.goicoechea@hotmail.com,+34 880 896 048,Barcelona,2025-07-22,57,Male,31,3,30,1,1.0,0.794,Casual Rider,Partnership,low,Debit Card,Web,2.0,2.0,0.0,25.37,12.685,4.8999999999999995,32.099999999999994,1.0,2025-11-02 17:25:00,18.0,19,2,4,13,38,0.0,0.0,0.0
CUST00074,Antonio,Soriano,antonio.soriano@gmail.com,+34846033928,Barcelona,2024-08-02,49,Female,52,2,49,0,1.0,0.925,Commuter,Ads,low,Credit Card,iOS,4.0,4.0,0.0,43.51,10.8775,30.57,20.7,0.0,2025-11-20 13:45:00,0.0,14,3,4,8,29,0.0,0.0,0.0
CUST00075,Eric,Benito,eric.benito@hotmail.com,+34 844 815 452,Barcelona,2023-10-11,32,Male,38,5,2,1,1.0,0.837,Casual Rider,Referral,low,Debit Card,iOS,1.0,1.0,0.0,13.79,13.79,5.95,16.8,0.0,2025-10-26 05:55:00,25.0,34,7,9,17,67,0.0,0.0,0.0
CUST00076,Calista,Morán,calista.morán@yahoo.com,+34 928826326,Barcelona,2023-09-13,26,Female,39,3,13,0,1.0,0.844,Tourist,Partnership,low,Cash,Web,4.0,2.0,2.0,23.384,5.846,31.630000000000003,26.725,0.0,2025-11-16 15:40:00,4.0,25,4,11,12,52,0.0,0.0,0.0
CUST00077,Marco,Lara,marco.lara@yahoo.com,+34 824 448 649,Barcelona,2025-03-01,28,Other,44,4,30,1,1.0,0.875,Casual Rider,Partnership,low,Digital Wallet,iOS,4.0,4.0,0.0,57.07,14.2675,42.61,28.2,3.0,2025-11-18 17:02:00,2.0,12,4,2,6,24,0.0,0.0,0.0
CUST00078,Jayson,Zijlemans,jayson.zijlemans@gmail.com,+31388-161171,Amsterdam,2024-01-22,67,Other,41,0,17,1,1.0,0.856,Casual Rider,Ads,medium,Digital Wallet,Android,1.0,1.0,0.0,6.2,6.2,10.9,18.0,0.0,2025-10-23 04:56:00,28.0,22,5,8,14,49,0.0,0.0,0.0
CUST00079,Jason,Rees,jason.rees@hotmail.co.uk,01614960639,London,2024-03-15,63,Female,40,2,2,0,1.0,0.85,Commuter,Organic,high,Digital Wallet,Android,1.0,1.0,0.0,12.46,12.46,1.56,11.2,0.0,2025-11-19 09:09:00,1.0,17,5,5,12,39,0.0,0.0,0.0
CUST00080,Fortunata,Pertile,fortunata.pertile@poste.it,+39 078902990,Milan,2025-03-12,23,Male,24,0,26,0,1.0,0.75,Commuter,Ads,medium,Cash,Web,2.0,2.0,0.0,41.34,20.67,18.22,35.15,0.0,2025-11-18 17:10:00,2.0,28,6,6,15,55,0.0,0.0,0.0
